pattern,Repeat1,Repeat2,Repeat3
1,0.46,0.45,0.43
2,0.61,0.58,0.59
3,0.67,0.7,0.68
4,0.74,0.72,0.74
5,0.8,0.81,0.82
6,0.87,0.86,0.87
7,0.94,0.9,0.91
8,0.95,0.98,0.98
