pattern,Repeat1,Repeat2,Repeat3
1,0.47,0.48,0.42
2,0.59,0.61,0.58
3,0.66,0.66,0.67
4,0.77,0.79,0.72
5,0.81,0.82,0.8
6,0.84,0.88,0.85
7,0.92,0.93,0.92
8,0.97,0.96,0.97
