pattern,Repeat1,Repeat2,Repeat3
1,0.43,0.46,0.44
2,0.59,0.59,0.6
3,0.67,0.69,0.68
4,0.75,0.68,0.73
5,0.81,0.83,0.81
6,0.88,0.89,0.88
7,0.92,0.93,0.93
8,0.98,0.94,0.97
