Pattern,Repeat 1,Repeat 2,Repeat 3
1,0.3457,0.34829375,0.3509
2,0.491525,0.49015625,0.4915625
3,0.59696875,0.59181875,0.59568125
4,0.6836625,0.68426875,0.683
5,0.7552375,0.75715,0.759175
6,0.82875,0.82488125,0.8273875
7,0.88548125,0.89056875,0.89060625
8,0.9459,0.94330625,0.945975
