pattern,Repeat1,Repeat2,Repeat3
1,0.47,0.48,0.47
2,0.55,0.57,0.59
3,0.69,0.68,0.66
4,0.78,0.77,0.77
5,0.79,0.82,0.81
6,0.88,0.87,0.88
7,0.9,0.94,0.93
8,0.96,0.99,0.94
