pattern,Repeat1,Repeat2,Repeat3
1,0.44,0.43,0.45
2,0.59,0.59,0.62
3,0.67,0.64,0.66
4,0.73,0.75,0.72
5,0.79,0.81,0.77
6,0.89,0.89,0.88
7,0.92,0.92,0.91
8,0.94,0.99,0.95
