pattern,Repeat1,Repeat2,Repeat3
1,0.48,0.43,0.47
2,0.57,0.57,0.62
3,0.71,0.66,0.68
4,0.75,0.74,0.75
5,0.8,0.82,0.8
6,0.88,0.87,0.88
7,0.92,0.9,0.92
8,0.95,0.97,0.93
