pattern,Repeat1,Repeat2,Repeat3
1,0.44,0.46,0.45
2,0.61,0.57,0.6
3,0.66,0.7,0.66
4,0.74,0.73,0.71
5,0.8,0.82,0.78
6,0.84,0.82,0.84
7,0.9,0.9,0.93
8,0.96,0.98,0.94
