pattern,Repeat1,Repeat2,Repeat3
1,0.44,0.45,0.46
2,0.6,0.6,0.58
3,0.68,0.69,0.69
4,0.75,0.75,0.76
5,0.78,0.81,0.81
6,0.87,0.86,0.89
7,0.91,0.89,0.9
8,0.98,0.95,0.95
