pattern,Repeat1,Repeat2,Repeat3
1,0.48,0.46,0.45
2,0.59,0.62,0.56
3,0.67,0.68,0.69
4,0.76,0.78,0.75
5,0.79,0.79,0.81
6,0.85,0.88,0.88
7,0.92,0.87,0.9
8,0.94,0.99,0.98
