pattern,Repeat1,Repeat2,Repeat3
1,0.45,0.44,0.44
2,0.59,0.6,0.58
3,0.67,0.67,0.67
4,0.75,0.71,0.78
5,0.82,0.79,0.82
6,0.89,0.87,0.85
7,0.92,0.92,0.92
8,0.92,0.96,0.98
