pattern,Repeat1,Repeat2,Repeat3
1,0.43,0.46,0.49
2,0.58,0.54,0.57
3,0.7,0.7,0.68
4,0.77,0.76,0.75
5,0.78,0.83,0.82
6,0.87,0.82,0.88
7,0.92,0.92,0.93
8,0.95,0.97,0.96
