pattern,Repeat1,Repeat2,Repeat3
1,0.43,0.47,0.45
2,0.57,0.59,0.58
3,0.7,0.69,0.68
4,0.75,0.76,0.75
5,0.82,0.78,0.79
6,0.84,0.86,0.83
7,0.91,0.93,0.93
8,0.98,0.95,0.94
