pattern,Repeat1,Repeat2,Repeat3
1,0.43,0.48,0.43
2,0.6,0.59,0.59
3,0.7,0.65,0.69
4,0.77,0.73,0.75
5,0.84,0.82,0.82
6,0.88,0.82,0.87
7,0.9,0.93,0.93
8,0.95,0.94,0.99
