pattern,Repeat1,Repeat2,Repeat3
1,0.47,0.48,0.48
2,0.59,0.58,0.6
3,0.66,0.66,0.71
4,0.75,0.76,0.74
5,0.79,0.79,0.8
6,0.87,0.84,0.83
7,0.93,0.9,0.91
8,0.96,0.96,0.94
