pattern,Repeat1,Repeat2,Repeat3
1,0.45,0.45,0.45
2,0.59,0.56,0.59
3,0.66,0.71,0.66
4,0.72,0.73,0.75
5,0.79,0.8,0.8
6,0.84,0.85,0.86
7,0.91,0.91,0.89
8,0.94,0.95,0.93
