pattern,Repeat1,Repeat2,Repeat3
1,0.43,0.45,0.44
2,0.59,0.57,0.55
3,0.66,0.68,0.69
4,0.76,0.75,0.77
5,0.82,0.82,0.81
6,0.87,0.88,0.87
7,0.9,0.91,0.87
8,0.97,0.96,0.94
