pattern,Repeat1,Repeat2,Repeat3
1,0.48,0.48,0.43
2,0.58,0.58,0.59
3,0.67,0.65,0.69
4,0.74,0.73,0.75
5,0.8,0.82,0.8
6,0.88,0.85,0.85
7,0.91,0.9,0.91
8,0.98,0.95,0.96
