pattern,Repeat1,Repeat2,Repeat3
1,0.44,0.45,0.49
2,0.59,0.59,0.54
3,0.66,0.71,0.66
4,0.71,0.73,0.74
5,0.78,0.81,0.83
6,0.85,0.85,0.88
7,0.93,0.95,0.9
8,0.94,0.96,0.93
