pattern,Repeat1,Repeat2,Repeat3
1,0.44,0.46,0.48
2,0.58,0.58,0.6
3,0.68,0.68,0.64
4,0.75,0.77,0.73
5,0.79,0.8,0.81
6,0.85,0.86,0.83
7,0.94,0.93,0.9
8,0.97,1,0.97
